Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,DESKL,DecisionTreeClassifier,-0.2170188664032896,-3.3800684531518557,0.0010380940141957735,True,Worse
average_cost,DESKL,Exponential,-0.03309118761589924,-0.47531125648353245,0.6356121624897475,False,No Diff
average_cost,DESKL,KNORAE,-0.25593243570103985,-3.4625697454336883,0.000791656621020273,True,Worse
average_cost,DESKL,LogisticRegression,0.04243973232282516,0.6240867757757805,0.5340060721484848,False,No Diff
average_cost,DESKL,METADES,-0.14203458840603067,-1.7592092240995145,0.08163147132141971,False,No Diff
average_cost,DESKL,MLA,-0.28069499314681934,-3.8964090321261318,0.00017759757077470594,True,Worse
average_cost,DESKL,RandomForestClassifier,0.048630573248407805,0.8375057801802201,0.4043256296675273,False,No Diff
average_cost,DESKL,SGDClassifier,0.009704910102394715,0.1385032198613755,0.8901240631656008,False,No Diff
average_cost,DESKL,StackingClassifier,0.05207127307909376,0.8304325476023208,0.40829244513735397,False,No Diff
average_cost,DESKL,VotingClassifier,0.09253083931306949,1.3699295530661084,0.17380787509733195,False,No Diff
average_cost,DESKL,XGBClassifier,0.023481012658227995,0.34616307850302835,0.7299547538827273,False,No Diff
average_cost,DecisionTreeClassifier,DESKL,0.2170188664032896,3.3800684531518557,0.0010380940141957735,True,Better
average_cost,DecisionTreeClassifier,Exponential,0.18392767878739036,2.5497017487221987,0.012315403113976449,True,Better
average_cost,DecisionTreeClassifier,KNORAE,-0.03891356929775025,-0.49973930795480326,0.618367552414739,False,No Diff
average_cost,DecisionTreeClassifier,LogisticRegression,0.25945859872611476,3.7209699067357613,0.0003295297519039445,True,Better
average_cost,DecisionTreeClassifier,METADES,0.07498427799725893,0.9239986241305591,0.35773370003497296,False,No Diff
average_cost,DecisionTreeClassifier,MLA,-0.06367612674352974,-0.7813732580850092,0.43644760404830296,False,No Diff
average_cost,DecisionTreeClassifier,RandomForestClassifier,0.2656494396516974,4.164820822144195,6.664628821666806e-05,True,Better
average_cost,DecisionTreeClassifier,SGDClassifier,0.22672377650568432,2.8005528080482716,0.006135300367835457,True,Better
average_cost,DecisionTreeClassifier,StackingClassifier,0.26909013948238336,3.8667977317295383,0.00019737922603536902,True,Better
