model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL (Baseline),100.0,0.792803221778222,0.08400393407748341,0.5,0.760568181818182,0.8107517482517482,0.8441666666666666,0.9330303030303032
DESKL (Cost-sensitive + Minimum Expected Cost),100.0,0.8269867974131132,0.043607141284778765,0.6915151515151515,0.8023484848484849,0.8242424242424242,0.8499043062200956,0.9321095571095572
DESKL (Cost-sensitive + Standard Threshold),100.0,0.826768542860648,0.047043452806403825,0.7003030303030303,0.7920658508158508,0.8298484848484848,0.8628787878787879,0.9193939393939394
DESKL (SMOTE + Minimum Expected Cost),100.0,0.7887689880295143,0.04774308316561766,0.6640909090909091,0.7524242424242424,0.7948678514467988,0.8200757575757576,0.922121212121212
DESKL (SMOTE + Standard Threshold),100.0,0.7907749745868167,0.04851344378125438,0.6443939393939393,0.7623484848484849,0.7928787878787878,0.818030303030303,0.9351515151515152
KNORAE (Baseline),100.0,0.7165541178120125,0.06543148662663986,0.5,0.6901376255323625,0.7253030303030303,0.7586742424242424,0.8339393939393941
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.7404987494961179,0.053848473486448716,0.6077272727272728,0.7015151515151516,0.7401515151515151,0.7815470494417862,0.84
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.7395720936957778,0.05833353407152111,0.5422727272727274,0.7055365686944635,0.7386363636363636,0.7779166666666667,0.8524184149184149
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.7012832281753334,0.061555294763521715,0.4601515151515152,0.668245898838004,0.7046969696969697,0.7352651515151516,0.8583333333333334
KNORAE (SMOTE + Standard Threshold),100.0,0.7036915777205252,0.0562329186977382,0.5730303030303032,0.6635606060606061,0.7021212121212121,0.7388704716336295,0.8487878787878788
LogisticRegression (Baseline),100.0,0.8240910589410589,0.06389017017254053,0.4569924812030075,0.7998484848484848,0.8340734265734266,0.8669924812030075,0.9193939393939394
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.8381807455702193,0.046277625561786336,0.7175757575757575,0.8143181818181818,0.845434039644566,0.8699096736596736,0.9227272727272728
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.8372360542965808,0.04487108220901338,0.7033799533799534,0.8104545454545454,0.8428787878787878,0.8640821678321678,0.9366666666666668
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.8321667096061834,0.0465778659848524,0.7209090909090909,0.7927272727272727,0.8333333333333334,0.868345864661654,0.9290909090909092
LogisticRegression (SMOTE + Standard Threshold),100.0,0.8330362006414639,0.04649943285942483,0.7025058275058276,0.8012121212121213,0.8322727272727273,0.8669172932330828,0.9354545454545456
METADES (Baseline),100.0,0.7625845036542406,0.07725094740845612,0.5,0.7279545454545455,0.7762121212121211,0.811060606060606,0.9092424242424242
METADES (Cost-sensitive + Minimum Expected Cost),100.0,0.8280716577282367,0.04331364615321813,0.7026515151515152,0.7978030303030303,0.831097060833903,0.8568181818181818,0.9151515151515152
METADES (Cost-sensitive + Standard Threshold),100.0,0.8272708142734457,0.05063903022923799,0.6757575757575758,0.7986363636363636,0.8274242424242424,0.8621212121212121,0.9423076923076924
METADES (SMOTE + Minimum Expected Cost),100.0,0.7398629651050703,0.06384142085137674,0.521203007518797,0.7077185314685315,0.7408316245158351,0.7834090909090909,0.8521212121212122
METADES (SMOTE + Standard Threshold),100.0,0.7570126864363705,0.0651627318593796,0.5253030303030303,0.7151136363636363,0.7610606060606061,0.7973530416951471,0.9033333333333332
