model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL (Balanced + MEC),100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DESKL (Balanced + STD),100.0,0.8264718213335484,0.034072477448701226,0.7025316455696202,0.803485043940982,0.8280254777070064,0.841016286382327,0.929936305732484
DESKL (Baseline),100.0,0.8569390470047569,0.011343204582145067,0.8280254777070064,0.8471337579617835,0.8571514956059019,0.8662420382165605,0.879746835443038
DESKL (Cost-sensitive + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DESKL (Cost-sensitive + STD),100.0,0.652673546722567,0.07457473028484056,0.4585987261146497,0.6114649681528662,0.6624203821656051,0.7011106183987744,0.802547770700637
DESKL (SMOTE + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DESKL (SMOTE + STD),100.0,0.8155289042973473,0.04234696282195701,0.6815286624203821,0.7908066596791099,0.8164556962025317,0.8471337579617835,0.8980891719745223
KNORAE (Balanced + MEC),100.0,0.17226316213819234,0.013411207318062633,0.1528662420382165,0.1592356687898089,0.170886075949367,0.1783439490445859,0.2229299363057325
KNORAE (Balanced + STD),100.0,0.7651979359832299,0.0317527618609248,0.6878980891719745,0.7452229299363057,0.7658227848101266,0.7898089171974523,0.8291139240506329
KNORAE (Baseline),100.0,0.8351229541240024,0.023343098587899208,0.7515923566878981,0.821656050955414,0.8343949044585988,0.8471337579617835,0.89171974522293
KNORAE (Cost-sensitive + MEC),100.0,0.18942917036200918,0.02646738494171616,0.1401273885350318,0.1719745222929936,0.1847133757961783,0.2025316455696202,0.2993630573248407
KNORAE (Cost-sensitive + STD),100.0,0.7382298637426429,0.0396852810836461,0.6305732484076433,0.708397161976941,0.7388535031847133,0.7647041038458438,0.8291139240506329
KNORAE (SMOTE + MEC),100.0,0.16635047972264771,0.017215814427637383,0.1464968152866242,0.1592356687898089,0.1592356687898089,0.1656050955414012,0.267515923566879
KNORAE (SMOTE + STD),100.0,0.7589075223736194,0.03270239674575496,0.6751592356687898,0.7388535031847133,0.759493670886076,0.7797206321051359,0.8471337579617835
LogisticRegression (Balanced + MEC),100.0,0.29012940417640887,0.07239660872099636,0.1582278481012658,0.2292993630573248,0.30476497621543175,0.3386277513504797,0.4585987261146497
LogisticRegression (Balanced + STD),100.0,0.7687015238248809,0.03501170840518069,0.6708860759493671,0.7388535031847133,0.7770700636942676,0.7961783439490446,0.8343949044585988
LogisticRegression (Baseline),100.0,0.8592401032008385,0.039301890789280265,0.6178343949044586,0.8471337579617835,0.8662420382165605,0.8791723776505684,0.9171974522292994
LogisticRegression (Cost-sensitive + MEC),100.0,0.25159880674030466,0.0577473552059603,0.1592356687898089,0.207600983632992,0.2420382165605095,0.2882165605095541,0.4203821656050955
LogisticRegression (Cost-sensitive + STD),100.0,0.678060952995243,0.0477046412611539,0.5414012738853503,0.643312101910828,0.6847133757961783,0.7133757961783439,0.7961783439490446
LogisticRegression (SMOTE + MEC),100.0,0.304191324679513,0.0836755820315551,0.1592356687898089,0.2420382165605095,0.28980891719745216,0.3630573248407643,0.554140127388535
LogisticRegression (SMOTE + STD),100.0,0.7647516729823431,0.0380793080102968,0.643312101910828,0.7400931226316213,0.7643312101910829,0.7898089171974523,0.8343949044585988
METADES (Balanced + MEC),100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
METADES (Balanced + STD),100.0,0.8348000483753932,0.026488677189409476,0.7770700636942676,0.821656050955414,0.8349189712166412,0.8481012658227848,0.9044585987261148
METADES (Baseline),100.0,0.8486088043215352,0.0145690683521101,0.8037974683544303,0.8407643312101911,0.8471337579617835,0.8598726114649682,0.8853503184713376
METADES (Cost-sensitive + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
METADES (Cost-sensitive + STD),100.0,0.7317471579456583,0.06111146702045253,0.4777070063694267,0.7006369426751592,0.7388535031847133,0.7770700636942676,0.8544303797468354
METADES (SMOTE + MEC),100.0,0.16004877852132546,0.0024997109007165686,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1719745222929936
METADES (SMOTE + STD),100.0,0.8157260340240267,0.02971796821726594,0.7261146496815286,0.802547770700637,0.8152866242038217,0.8407643312101911,0.89171974522293
