model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.7860948963960331,0.14231389147667306,0.379746835443038,0.7070063694267515,0.7898089171974523,0.8996815286624205,1.0443037974683544,100.0,0.8264718213335484,0.034072477448701226,0.7025316455696202,0.803485043940982,0.8280254777070064,0.841016286382327,0.929936305732484,100.0,0.47358305582650956,0.08276869861722462,0.2857142857142857,0.4117647058823529,0.4642857142857143,0.5030487804878049,0.7916666666666666,100.0,0.5736769230769232,0.08741060684624935,0.4,0.52,0.56,0.64,0.84,100.0,0.5149924957891553,0.0723033988708739,0.3728813559322034,0.4677304964539007,0.5042372881355932,0.5581761006289309,0.7755102040816326,100.0,0.8308605263157895,0.04399938039979247,0.7266666666666667,0.8017278554778555,0.8333333333333333,0.8615909090909091,0.9251515151515152
DecisionTreeClassifier,100.0,0.855756671772958,0.20811661771044818,0.4777070063694267,0.702057969846005,0.8254253003305652,0.9729299363057324,1.5822784810126582,100.0,0.6177791663307265,0.1136560806372761,0.3694267515923566,0.5414012738853503,0.6222486495202774,0.7085987261146496,0.8535031847133758,100.0,0.2575295460675085,0.06908895929226623,0.0,0.21160130718954245,0.24852941176470583,0.29678362573099415,0.5555555555555556,100.0,0.6704153846153846,0.17796125991149578,0.0,0.6,0.6861538461538461,0.8,1.0,100.0,0.3604106790271859,0.07179712486810942,0.0,0.3248196248196248,0.3636363636363636,0.4044573121465122,0.5405405405405406,100.0,0.6660087863890496,0.07193812597707197,0.5,0.6205681818181817,0.6699242424242424,0.7186078833447255,0.8286363636363636
Exponential,100.0,0.7997339353382248,0.15592114565042733,0.3987341772151899,0.6958598726114649,0.8285898572925905,0.9187898089171974,1.197452229299363,100.0,0.8043029912118036,0.03543613441470325,0.7197452229299363,0.7818471337579618,0.8031726195275337,0.8240949770216883,0.89171974522293,100.0,0.4243754837258865,0.07380748916293402,0.2777777777777778,0.37117503059975515,0.418979744936234,0.4628205128205128,0.6333333333333333,100.0,0.5794307692307693,0.09728995449660068,0.32,0.52,0.56,0.64,0.8076923076923077,100.0,0.486667226489544,0.07410419817888104,0.3137254901960784,0.43021978021978025,0.4736517719568567,0.5298713235294118,0.7,100.0,0.8052036963036965,0.05114628466462118,0.6421212121212121,0.7730128205128205,0.803924584187742,0.8391626794258373,0.9172494172494172
KNORAE,100.0,0.9104152221236798,0.16776970701405114,0.5569620253164557,0.7770700636942676,0.910828025477707,1.03343949044586,1.286624203821656,100.0,0.7651979359832299,0.0317527618609248,0.6878980891719745,0.7452229299363057,0.7658227848101266,0.7898089171974523,0.8291139240506329,100.0,0.3475587061266773,0.059528890154480055,0.2,0.30598072562358275,0.3473824312333629,0.39050901378579006,0.4857142857142857,100.0,0.5296923076923076,0.10562710660333996,0.28,0.44,0.52,0.6,0.76,100.0,0.4178029361827322,0.07070228884745589,0.2461538461538461,0.36858974358974356,0.4252359662195727,0.47003367003367,0.5573770491803278,100.0,0.7336712033580455,0.0574708880682698,0.5800000000000001,0.7009469696969697,0.7341666666666666,0.769090909090909,0.8615151515151516
LogisticRegression,100.0,0.6206248488268966,0.15267382969491974,0.3248407643312102,0.5222929936305732,0.6114649681528662,0.7197452229299363,1.1265822784810129,100.0,0.768701523824881,0.0350117084051807,0.6708860759493671,0.7388535031847133,0.7770700636942676,0.7961783439490446,0.8343949044585988,100.0,0.3850663205801002,0.04983069701077616,0.2244897959183673,0.3518518518518518,0.38879280525769633,0.42243589743589743,0.4888888888888889,100.0,0.7290153846153845,0.09490795505677274,0.44,0.64,0.7453846153846153,0.8,0.92,100.0,0.5023122720884734,0.05845565453831224,0.2972972972972973,0.4738970588235294,0.5072524700441454,0.5428571428571428,0.6285714285714286,100.0,0.836680675464886,0.04456775193402393,0.7234848484848485,0.8071969696969696,0.8390931875142401,0.865,0.926969696969697
METADES,100.0,0.8974776263807145,0.16887652191279554,0.4493670886075949,0.7945859872611465,0.8980891719745223,0.9761146496815286,1.3860759493670889,100.0,0.8348000483753931,0.026488677189409476,0.7770700636942676,0.821656050955414,0.8349189712166412,0.8481012658227848,0.9044585987261148,100.0,0.4854316031744488,0.08571358740174909,0.3076923076923077,0.44,0.4833147942157954,0.5280701754385965,0.7272727272727273,100.0,0.4901692307692307,0.1069542686751257,0.16,0.44,0.48,0.56,0.7692307692307693,100.0,0.48392370726361605,0.08757354352578124,0.2105263157894736,0.4433333333333333,0.4833147942157954,0.5312925170068028,0.7017543859649122,100.0,0.8198831019857334,0.04625452993662469,0.6657142857142857,0.7983333333333335,0.822946001367054,0.851152312599681,0.9268648018648018
MLA,100.0,1.0696182375231797,0.20134798466446552,0.6496815286624203,0.9347133757961783,1.0414012738853502,1.2213375796178343,1.5414012738853504,100.0,0.749629928243167,0.06866005619886525,0.554140127388535,0.7006369426751592,0.7643312101910829,0.8028601951140854,0.8726114649681529,100.0,0.32340158452872486,0.10431732619945099,0.1111111111111111,0.2586206896551724,0.30500894454382826,0.4,0.6470588235294118,100.0,0.42992307692307696,0.14086328862030595,0.1538461538461538,0.32,0.44,0.53,0.6923076923076923,100.0,0.35449215404592105,0.09060033818359993,0.1311475409836065,0.2962962962962963,0.35309503051438534,0.415216858613085,0.5333333333333333,100.0,0.6611515291725819,0.07344261065307468,0.469988344988345,0.6184848484848485,0.6736363636363636,0.7132196969696969,0.8096969696969698
RandomForestClassifier,100.0,0.7085559945174554,0.13918948298162573,0.4113924050632911,0.6162420382165605,0.7047488510844151,0.8152866242038217,1.0,100.0,0.8033004111908411,0.03413019991051846,0.7261146496815286,0.7834394904458599,0.802547770700637,0.828297589292913,0.8924050632911392,100.0,0.42868670767681105,0.06451083431361848,0.3043478260869565,0.3879210220673635,0.4210526315789473,0.4752631578947368,0.6333333333333333,100.0,0.6438307692307691,0.08377801241551286,0.48,0.6,0.64,0.72,0.8461538461538461,100.0,0.5124547365677239,0.06493182481580828,0.375,0.4666666666666667,0.5085137085137085,0.5522546419098143,0.6909090909090909,100.0,0.8417149508386349,0.04007329947578798,0.736013986013986,0.8168939393939394,0.842717019822283,0.8696969696969696,0.9345454545454543
SGDClassifier,100.0,0.6801261791502056,0.1670587511203139,0.3184713375796178,0.5499173587035395,0.6751592356687898,0.7595541401273886,1.3630573248407645,100.0,0.7058042409094573,0.11563844325940416,0.3312101910828025,0.6560912682415544,0.732484076433121,0.7898089171974523,0.8789808917197452,100.0,0.34491813000187227,0.0858631537911687,0.1789473684210526,0.2857142857142857,0.3357843137254902,0.3960526315789473,0.6071428571428571,100.0,0.7314153846153846,0.14499976689957952,0.2,0.64,0.7453846153846153,0.84,1.0,100.0,0.45459257788484786,0.07526198392495934,0.2272727272727272,0.41261755485893414,0.45403857745629894,0.5061003507701692,0.6567164179104478,100.0,0.7501422761449077,0.08026663255880002,0.5412121212121213,0.7009848484848484,0.7463840326340325,0.807781954887218,0.9163636363636364
StackingClassifier,100.0,0.5509965330968314,0.13803311253374584,0.2420382165605095,0.445859872611465,0.5477707006369427,0.6418507619124405,0.929936305732484,100.0,0.7970813512859791,0.034765575603804645,0.7088607594936709,0.7770700636942676,0.7961783439490446,0.821656050955414,0.8726114649681529,100.0,0.4285234386153219,0.05508898504277644,0.3076923076923077,0.3931025369978858,0.425531914893617,0.4658584858980702,0.5609756097560976,100.0,0.7577230769230769,0.0860901307296549,0.52,0.68,0.76,0.801923076923077,0.92,100.0,0.5452599941471354,0.057861193272478066,0.40625,0.505,0.5469208211143695,0.5846153846153846,0.696969696969697,100.0,0.8688667840930998,0.0375179980875342,0.7497086247086248,0.8446212121212121,0.8693939393939394,0.8941666666666666,0.9448484848484848
