model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.7928032217782217,0.08400393407748341,0.5,0.760568181818182,0.8107517482517482,0.8441666666666666,0.9330303030303032
DecisionTreeClassifier,100.0,0.6133243804441173,0.07035482919921668,0.5,0.5593181818181818,0.6031818181818182,0.6664035087719299,0.7795454545454545
Exponential,100.0,0.77569671994672,0.07589328119121874,0.5,0.7393181818181818,0.7877272727272728,0.8217890442890443,0.9215151515151516
KNORAE,100.0,0.7165541178120125,0.06543148662663986,0.5,0.6901376255323625,0.7253030303030303,0.7586742424242424,0.8339393939393941
LogisticRegression,100.0,0.824091058941059,0.06389017017254053,0.4569924812030075,0.7998484848484848,0.8340734265734266,0.8669924812030075,0.9193939393939394
METADES,100.0,0.7625845036542404,0.07725094740845612,0.5,0.7279545454545455,0.7762121212121211,0.811060606060606,0.9092424242424242
MLA,100.0,0.6201003956569745,0.07249233953976013,0.4136842105263157,0.5729166666666667,0.6140909090909091,0.6788636363636363,0.7651127819548871
RandomForestClassifier,100.0,0.7890186559054979,0.08094135404832392,0.5,0.7481060606060607,0.8018181818181818,0.843409090909091,0.935897435897436
SGDClassifier,100.0,0.6847635290148449,0.08526706206274048,0.525909090909091,0.6125378787878788,0.6865268065268064,0.7536742424242424,0.8828787878787879
StackingClassifier,100.0,0.8692765707976235,0.03469158759887508,0.7674825174825174,0.8498397435897436,0.8722989291410344,0.8898484848484849,0.9387878787878788
VotingClassifier,100.0,0.8556649753755017,0.039367215935669525,0.7581954887218045,0.8298484848484848,0.8627067669172932,0.8784951013898382,0.948181818181818
XGBClassifier,100.0,0.8657038522880629,0.036839519154091574,0.7496969696969698,0.8445454545454546,0.8648484848484849,0.8959848484848485,0.9212121212121211
