model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL,100.0,1.3997121664113523,0.11154073159821078,1.1019108280254777,1.3375796178343948,1.4012738853503184,1.4658147222446183,1.6455696202531649
DecisionTreeClassifier,100.0,1.37449770216883,0.13262313262658598,1.019108280254777,1.286624203821656,1.358723695880029,1.464968152866242,1.6455696202531649
KNORAE,100.0,1.217118035959042,0.15052695255991802,0.7515923566878981,1.1251914859308234,1.2222244618237523,1.310620414415867,1.6455696202531649
LogisticRegression,100.0,1.0114915746190438,0.16242521223496298,0.6835443037974683,0.9171974522292994,0.9968354430379747,1.122611464968153,1.5443037974683544
METADES,100.0,1.3920277352253485,0.14028279060953405,0.9745222929936306,1.2929936305732483,1.412702571958397,1.4817786019511408,1.6455696202531649
MLA,100.0,1.49989881480287,0.10262689222687739,1.0445859872611465,1.4642324437636054,1.5286624203821657,1.584798032734016,1.6455696202531649
RandomForestClassifier,100.0,1.417361122309119,0.10982436305606245,1.1656050955414012,1.3375796178343948,1.4012738853503184,1.4832500201564138,1.5987261146496816
StackingClassifier,100.0,0.9830383778118198,0.13693241407998274,0.6496815286624203,0.9028662420382166,0.9808917197452228,1.095541401273885,1.2929936305732483
VotingClassifier,100.0,1.092469563815206,0.21841929280040298,0.5095541401273885,0.960191082802548,1.105095541401274,1.2531847133757963,1.5987261146496816
XGBClassifier,100.0,0.9484157058776104,0.13679413605583038,0.5987261146496815,0.8481012658227848,0.9554140127388536,1.0507135370474885,1.3184713375796178
